대상 상품,프로모션 목표,프로모션 방식 (할인/경품 혜택),기간 및 편성 영역,유저 플로우 구조,랜딩 경로 (UI_PATH),필수 제작 배너,선택 / 특수 배너,핵심 소구점 / 카피 가이드
"콘텐츠(PPV)

전체 콘텐츠","[인지]

단순 홍보","[방식] 단순 홍보

[혜택] 없음","[기간] 7일 이내

[편성] 장르 GNB 빅배너, 롱배너 등","다중 배너 진입

➡️ 시놉시스",UI_PATH: /synopsis,빅배너,"2단배너, 롱배너","""콘텐츠 편성, 신규 에피소드 강조"""
"콘텐츠(PPV)

영화 콘텐츠","[구매 전환]

할인쿠폰 선발급","[방식] 할인쿠폰 사전 발급

[혜택] 1편 당 2,200원~5,500원 할인","[기간] 7일~15일 이내

[편성] Today B tv, 영화 GNB, WING UI 등","다중 배너 진입

➡️ 시놉시스",UI_PATH: /synopsis,"Today B tv, 빅배너","2단배너, 롱배너, 실시간 EPG, 편성표","""미리 발급된 할인 쿠폰으로 즉시 감상"""
"콘텐츠(PPV)

영화 콘텐츠","[구매 전환]

할인쿠폰 다운로드","[방식] 배너 직접 다운로드

[혜택] 100% 할인 또는 부분 할인","[기간] 7일~15일 이내

[편성] Today B tv, 영화 GNB 등","배너 내 다운로드

자체 액션 (팝업X)",ACTION: /download_coupon,"Today B tv, 빅배너","2단배너, 롱배너, 실시간 EPG","""지금 바로 다운로드"", ""반값 혜택"""
"콘텐츠(PPV)

영화 콘텐츠","[구매 전환]

경품 추첨/전원 증정","[방식] 구매자 대상 경품 증정

[혜택] B캐시/포인트, 굿즈 (할인 없음)","[기간] 0일 (즉시)

[편성] Today B tv, 영화 GNB 등","다중 배너 진입

➡️ 시놉시스/구매창",UI_PATH: /purchase,"Today B tv, 빅배너","2단배너, 롱배너, TV 팝업","""시청/결제만 해도 100% 경품 당첨"""
"콘텐츠(PPV)

영화 콘텐츠","[구매 전환]

할인쿠폰 선발급/다운로드

+ 경품 증정","[방식] 쿠폰 제공 후 구매 시 경품 추가 지급

[혜택] 할인 쿠폰 + B캐시/포인트/굿즈","[기간] 7일~15일 이내

[편성] Today B tv, 영화 GNB 등","띠배너/빅배너 ➡️

TV팝업 (안내) ➡️

시놉시스",UI_PATH: /synopsis,"Today B tv, 빅배너, TV 팝업","2단배너, 롱배너, 실시간 EPG","""할인받고 경품까지 챙기는 더블 혜택"""
"콘텐츠(PPV)

주요 상품 전체","[구매 전환]

시즌 특가 (묶음 할인)","[방식] 명절/방학 등 주요 시즌 묶음 할인+경품

[혜택] 할인 쿠폰 + B캐시/포인트 등","[기간] 이벤트 기간 내

[편성] 홈 풀프로모션, 띠배너 등","다중 배너 진입 ➡️

이벤트 큐레이션 블록",UI_PATH: /event_block,"Today B tv, 풀프로모션, 띠배너","2단배너, TV 팝업","""여름방학/명절 맞이 블록버스터 파티"""
"월정액(PPM)

전체 월정액","[인지]

단순 홍보","[방식] 상품 특징 및 편성 콘텐츠 홍보

[혜택] 없음","[기간] 상시 또는 7일

[편성] 가상채널, GNB, 가입하기 빅배너 등","가상채널/배너 ➡️

월정액 홈",UI_PATH: /monthly_home,"가입하기 빅배너, 가상채널 이미지",Today OTT 배너,"""N월의 라인업"", ""무제한으로 즐기는"""
"월정액(PPM)

전체 월정액","[신규 가입]

할인쿠폰 선발급/다운로드","[방식] 미이용자/해지자 대상 쿠폰 제공 후 가입 유도

[혜택] 첫 달 100% 또는 50%~월 5,500원 할인","[기간] 7일 이내 (토스트팝업 등)

[편성] Today B tv, 띠배너 등","띠배너/배너 ➡️

월정액 가입창",UI_PATH: /monthly_subscribe,"Today B tv, 띠배너, 가입하기 빅배너","2단 배너, 토스트 팝업","""첫 달 100% 무료"", ""50% 파격 할인"""
"월정액(PPM)

전체 월정액","[신규 가입]

할인쿠폰 선발급 + 경품 (추첨/전원/응모)","[방식] 할인 쿠폰 지급 후 가입(응모) 시 경품 제공

[혜택] 할인 + 고가 경품/현물 (1~5만원 상당)","[기간] 1주 내

[편성] Today B tv, 홈 띠배너 등","띠배너 ➡️

TV팝업 (안내) ➡️ 가입창",UI_PATH: /monthly_subscribe,"Today B tv, 띠배너, 가입하기 빅배너, TV 팝업","2단 배너, 풀프로모션","""가입만 해도 상품권 증정"", ""즉시 반값"""
"월정액(PPM)

전체 월정액","[리텐션/해지방어]

할인 자동적용 + 경품 전원 증정","[방식] 해지 가능 고객 대상 자동 할인 및 유지 시 경품 지급

[혜택] 할인 유지 + B캐시/포인트/현물","[기간] 1달 내

[편성] 홈 콘텐츠 블록, 띠배너","띠배너 ➡️

TV팝업 (혜택 고지) ➡️ 가입 유지",UI_PATH: /monthly_subscribe,"띠배너, TV 팝업, 2단배너",-,"""해지하지 마세요! 100% 경품 혜택 도착"""
"월정액(PPM)

전체 월정액","[시청 유도]

시청자 대상 경품 추첨","[방식] 특정 타이틀 시청 증대를 위한 경품 이벤트

[혜택] B캐시/포인트, 굿즈","[기간] 1달 내

[편성] Today B tv, 홈 띠배너 등","띠배너/배너 ➡️

시놉시스",UI_PATH: /synopsis,"Today B tv, 띠배너","2단배너, TV 팝업","""월정액 고객님, 시청만 해도 자동 응모"""
